DaysSinceRecentOrder,Nb Orders,Amount Orders,Avg Amount Orders,Max Amount Orders,Nb items,Avg Nb items,Avg item amount,Max item amount,PayMeth_Bancontact,PayMeth_Card,PayMeth_Ideal,PayMeth_Klarna,PayMeth_Other,PayMeth_Pay Later,PayMeth_shopify payments,Always Discount,Always Free Shipping,Never Discount,Never Free Shipping,Max Discount Percentage,Same SKU more than once,Email Marketing Consent,Accepts Marketing,click,open,Days since First Active,Days since Last Active,Days since Profile Created On,Days since Date Added,Recent City_amersfoort,Recent City_amsterdam,Recent City_breda,Recent City_den haag,Recent City_eindhoven,Recent City_groningen,Recent City_haarlem,Recent City_rotterdam,Recent City_utrecht,Recent City_zwolle,dbscan_cluster
57,2,470.1,94.02,96.78,6,1.0,33.75,34.95,0,0,0,0,0,0,1,1,1,0,0,0.11,0,0,0,1,1,293,29,293,1,False,False,False,False,False,False,False,False,False,False,16
194,1,27.16,27.16,27.16,1,1.0,27.16,27.16,0,0,0,0,0,0,1,0,1,1,0,0.0,0,0,0,1,1,194,23,194,1,False,False,False,False,False,False,False,False,False,False,17
242,1,122.15,122.15,122.15,1,1.0,122.15,122.15,0,0,0,0,0,0,1,0,1,1,0,0.0,0,2,0,1,1,242,21,242,1,False,False,False,False,False,False,False,False,False,False,18
181,2,124.03,62.02,94.38,4,2.0,33.95,34.95,0,0,0,0,0,0,1,1,1,0,0,0.11,0,1,1,1,1,189,2,189,1,False,True,False,False,False,False,False,False,False,False,19
387,1,76.68,76.68,76.68,3,3.0,30.84,30.84,0,0,1,0,0,0,0,1,1,0,0,0.21,0,0,0,0,1,1002,387,893,1,False,False,False,False,False,False,False,False,False,False,0
387,1,33.95,33.95,33.95,1,1.0,33.95,33.95,0,0,0,0,1,0,0,0,1,1,0,0.0,0,1,0,0,1,642,0,642,1,False,False,False,False,False,False,False,False,False,False,20
387,1,233.28000000000003,77.76,77.76,3,1.0,27.28,28.95,0,0,1,0,0,0,0,1,1,0,0,0.05,0,0,0,0,1,537,387,537,1,False,False,False,False,False,False,False,False,False,False,0
369,1,391.68,97.92,97.92,4,1.0,27.2,36.95,0,0,0,0,0,0,1,1,1,0,0,0.11,0,2,0,0,1,369,248,369,1,False,False,False,False,False,False,False,False,False,False,10
387,2,357.82,178.91,178.91,14,7.0,30.84,30.84,0,0,1,0,0,0,0,1,1,0,0,0.21,1,2,0,0,1,966,21,893,1,False,False,False,False,False,False,False,False,False,False,-1
245,1,247.59,82.53,82.53,3,1.0,28.95,28.95,0,0,0,0,0,0,1,1,1,0,0,0.05,0,1,1,1,1,245,26,245,1,False,False,False,False,False,False,False,False,False,False,6
